Player,Team,Role,Credits
D Conway,CSK,WK,8.5
M Dhoni,CSK,WK,7.5
R Gaikwad,CSK,BAT,8.5
A Rayudu,CSK,BAT,7.5
A Rahane,CSK,BAT,7
S Dube,CSK,BAT,7
S Senapati,CSK,BAT,5.5
S Rasheed,CSK,BAT,5
R Jadeja,CSK,AR,9
B Stokes,CSK,AR,9
M Ali,CSK,AR,8.5
D Pretorius,CSK,AR,7
M Santner,CSK,AR,6.5
A Mandal,CSK,AR,5.5
N Sindhu,CSK,AR,5.5
D Chahar,CSK,BOWL,8.5
M Theekshana,CSK,BOWL,8
M Choudhary,CSK,BOWL,7
S Magala,CSK,BOWL,6
T Deshpande,CSK,BOWL,6
S Singh,CSK,BOWL,6
P Solanki,CSK,BOWL,6
R Hangargekar,CSK,BOWL,5.5
M Pathirana,CSK,BOWL,5
B Varma,CSK,BOWL,4.5
A Singh,CSK,BOWL,4.5
S Khan,DC,WK,7
P Salt,DC,WK,6.5
D Warner,DC,BAT,9
P Shaw,DC,BAT,8.5
R Powell,DC,BAT,8
M Pandey,DC,BAT,7.5
R Rossouw,DC,BAT,7.5
R Patel,DC,BAT,5.5
Y Dhull,DC,BAT,5
M Marsh,DC,AR,8.5
A Patel,DC,AR,8.5
L Yadav,DC,AR,6.5
A Nortje,DC,BOWL,9
K Yadav,DC,BOWL,8.5
M Rahman,DC,BOWL,8
L Ngidi,DC,BOWL,7.5
K Ahmed,DC,BOWL,7
I Sharma,DC,BOWL,6.5
C Sakariya,DC,BOWL,6
K Nagarkoti,DC,BOWL,5.5
M Kumar,DC,BOWL,5
A Khan,DC,BOWL,5
P Dubey,DC,BOWL,4.5
V Ostwal,DC,BOWL,4
M Wade,GT,WK,7.5
W Saha,GT,WK,7
K Srikar-Bharat,GT,WK,7
S Gill,GT,BAT,9
D Miller,GT,BAT,8.5
K Williamson,GT,BAT,8
A Manohar,GT,BAT,6.5
S Sudharsan,GT,BAT,6
U Patel,GT,BAT,5.5
H Pandya,GT,AR,9
R Tewatia,GT,AR,8
O Smith,GT,AR,7
V Shankar,GT,AR,6.5
Rashid-Khan,GT,BOWL,9
M Shami,GT,BOWL,8.5
A Joseph,GT,BOWL,8
Y Dayal,GT,BOWL,7.5
S Mavi,GT,BOWL,7
J Yadav,GT,BOWL,6.5
J Little,GT,BOWL,6.5
R Sai Kishore,GT,BOWL,6.5
P Sangwan,GT,BOWL,6
M Sharma,GT,BOWL,6
N Ahmad,GT,BOWL,6
D Naikande,GT,BOWL,5.5
R Gurbaz,KKR,WK,7.5
L Das,KKR,WK,7
N Jagadeesan,KKR,WK,6.5
S Iyer,KKR,BAT,9
N Rana,KKR,BAT,8.5
V Iyer,KKR,BAT,8
R Singh,KKR,BAT,7
Mandeep Singh,KKR,BAT,6.5
S Khan,KKR,BAT,6.5
A Russell,KKR,AR,9
S Narine,KKR,AR,8.5
S Al Hasan,KKR,AR,8
D Weise,KKR,AR,7
A Sudhakar Roy,KKR,AR,6
T Southee,KKR,BOWL,8.5
S Thakur,KKR,BOWL,8.5
U Yadav,KKR,BOWL,8
L Ferguson,KKR,BOWL,8
V Chakravarthy,KKR,BOWL,7.5
K Khejroliya,KKR,BOWL,6
H Rana,KKR,BOWL,6
V Arora,KKR,BOWL,5.5
S Sharma,KKR,BOWL,4.5
Q de Kock,LSG,WK,9
N Pooran,LSG,WK,8.5
L Rahul,LSG,BAT,9
D Hooda,LSG,BAT,8
A Badoni,LSG,BAT,7
M Vohra,LSG,BAT,6.5
K Sharma,LSG,BAT,6
M Stoinis,LSG,AR,8.5
K Pandya,LSG,AR,8
K Mayers,LSG,AR,7
D Sams,LSG,AR,7
K Gowtham,LSG,AR,6.5
R Shepherd,LSG,AR,6.5
P Mankad,LSG,AR,6
S Singh,LSG,AR,5.5
A Khan,LSG,BOWL,8.5
M Wood,LSG,BOWL,8
R Bishnoi,LSG,BOWL,8
J Unadkat,LSG,BOWL,7.5
M Khan,LSG,BOWL,7.5
A Mishra,LSG,BOWL,7
Naveen-ul-Haq,LSG,BOWL,7
Y Thakur,LSG,BOWL,6
Y Singh Charak,LSG,BOWL,5
M Yadav,LSG,BOWL,4.5
I Kishan,MI,WK,8.5
T Subbs,MI,WK,7
V Vinod,MI,WK,5
R Sharma,MI,BAT,9
S Yadav,MI,BAT,9
T Varma,MI,BAT,8
T David,MI,BAT,8
D Brevis,MI,BAT,7.5
N Wadhera,MI,BAT,4
C Green,MI,AR,7.5
H Shokeen,MI,AR,6.5
R Singh,MI,AR,6.5
R Goyal,MI,AR,4
J Archer,MI,BOWL,9
J Behrendorff,MI,BOWL,7
R Meredith,MI,BOWL,7
K Kartikeya,MI,BOWL,7
P Chawla,MI,BOWL,6
S Mulani,MI,BOWL,6
D Jansen,MI,BOWL,6
S Warrier,MI,BOWL,5.5
A Khan,MI,BOWL,5
A Tendulkar,MI,BOWL,4.5
A Madhwal,MI,BOWL,4.5
J Sharma,PBKS,WK,7
P Singh,PBKS,WK,6
S Dhawan,PBKS,BAT,9
B Rajapaksa,PBKS,BAT,7.5
H Singh,PBKS,BAT,5.5
A Taide,PBKS,BAT,5
S Singh,PBKS,BAT,5
L Livingstone,PBKS,AR,9
S Curran,PBKS,AR,8.5
S Raza,PBKS,AR,7
R Dhawan,PBKS,AR,6.5
M Short,PBKS,AR,6.5
R Angad Bawa,PBKS,AR,5.5
K Rabada,PBKS,BOWL,9
A Singh,PBKS,BOWL,8.5
R Chahar,PBKS,BOWL,8
N Ellis,PBKS,BOWL,7
H Brar,PBKS,BOWL,6.5
B Singh,PBKS,BOWL,5
K Kaverappa,PBKS,BOWL,5
M Rathee,PBKS,BOWL,5
D Karthik,RCB,WK,7.5
F Allen,RCB,WK,7
A Rawat,RCB,WK,6
V Kohli,RCB,BAT,9
F du Plessis,RCB,BAT,9
S Prabhudessai,RCB,BAT,6.5
M Lomror,RCB,BAT,6
G Maxwell,RCB,AR,9
W Hasaranga,RCB,AR,8.5
M Bracewell,RCB,AR,7.5
S Ahmed,RCB,AR,7
M Bhandage,RCB,AR,5
H Patel,RCB,BOWL,8.5
M Siraj,RCB,BOWL,8.5
J Hazlewood,RCB,BOWL,8
D Wiley,RCB,BOWL,7.5
W Parnell,RCB,BOWL,7
S Kaul,RCB,BOWL,6.5
K Sharma,RCB,BOWL,6.5
A Deep,RCB,BOWL,6.5
V Vijaykumar,RCB,BOWL,5.5
S Yadav,RCB,BOWL,5.5
A Singh,RCB,BOWL,5
R Kumar,RCB,BOWL,5
H Sharma,RCB,BOWL,4.5
J Buttler,RR,WK,9
S Samson,RR,WK,8.5
K Singh Rathore,RR,WK,5
S Hetmyer,RR,BAT,8
D Padikkal,RR,BAT,8
Y Jaiswal,RR,BAT,7.5
J Root,RR,BAT,7
D Jurel,RR,BAT,6
A Basith,RR,BAT,5.5
J Holder,RR,AR,8.5
R Ashwin,RR,AR,8
R Parag,RR,AR,7.5
D Ferreira,RR,AR,6.5
A Vasisht,RR,AR,6
T Boult,RR,BOWL,9
Y Chahal,RR,BOWL,8.5
A Zampa,RR,BOWL,8
K Sen,RR,BOWL,7.5
N Saini,RR,BOWL,7
O McCoy,RR,BOWL,7
M Ashwin,RR,BOWL,6.5
S Sharma,RR,BOWL,6
K Cariappa,RR,BOWL,6
K Asif,RR,BOWL,6
K Yadav,RR,BOWL,5
H Klassen,SRH,WK,8
G Phillips,SRH,WK,7.5
U Yadav,SRH,WK,5.5
M Agarwal,SRH,BAT,8.5
R Tripathi,SRH,BAT,8.5
A Sharma,SRH,BAT,8
H Brook,SRH,BAT,8
A Samad,SRH,BAT,6.5
A Singh,SRH,BAT,6
S Vyas,SRH,BAT,5.5
A Markram,SRH,AR,8.5
M Jansen,SRH,AR,8
W Sundar,SRH,AR,7.5
V Sharma,SRH,AR,5.5
S Singh,SRH,AR,5
N Kumar Reddy,SRH,AR,5
B Kumar,SRH,BOWL,8.5
U Malik,SRH,BOWL,8.5
T Natarajan,SRH,BOWL,8
A Rashid,SRH,BOWL,7.5
A Hosein,SRH,BOWL,7.5
F Farooqi,SRH,BOWL,7
K Tyagi,SRH,BOWL,6.5
M Dagar,SRH,BOWL,6
M Markande,SRH,BOWL,6
